A,B,C,D,E,F,G,H,I,J,,,
1,0,1,0,1,0,1,0.7187812924,0.3228400312,0.4664470935,0.9239768307,0.3294248530,0.1478726091
0,1,1,1,1,1,1,0.2619392606,0.5705269477,0.1548394593,0.1721475762,0.9553237916,0.3833363708
0,1,0,0,1,1,1,0.8490288844,0.3217291911,0.7643978428,0.8283831608,0.5788648715,0.1661636471
0,1,0,0,0,1,1,0.9143740959,0.9478560956,0.9687674153,0.8417380787,0.6891316837,0.2141646910
1,0,0,0,1,0,0,0.9411822567,0.4080753401,0.1652060165,0.7041713730,0.1954409680,0.7759506889
0,1,1,0,1,0,1,0.4473686726,0.4328576881,0.9814247130,0.8013400147,0.1851415010,0.0431103068
0,0,0,1,0,1,0,0.6866091560,0.1880410500,0.0919093052,0.3765527448,0.5948589453,0.0021755057
0,0,0,0,1,1,1,0.0972186089,0.7506766180,0.5452954960,0.8533204896,0.8293066099,0.4734748211
1,0,1,0,1,1,1,0.1902968767,0.7623645579,0.0925023463,0.7828412396,0.9475304969,0.4423674839
1,1,1,1,1,0,1,0.6207458843,0.8597378628,0.2961092619,0.6546652527,0.4347626744,0.7933971090
1,1,0,0,1,1,1,0.4097503549,0.3701203209,0.2689479394,0.5922970078,0.3156145336,0.0987772327
1,1,1,1,1,0,1,0.4150482528,0.3528167172,0.2944376073,0.4122887123,0.5650380426,0.0664772233
1,1,1,0,1,1,0,0.2762566302,0.2210552651,0.6739800097,0.7185536046,0.8023719923,0.1801563278
1,1,1,0,0,1,1,0.4338264149,0.6567561831,0.7704130225,0.0548205357,0.5855230521,0.3060923279
0,1,0,0,1,1,0,0.6111824447,0.6184669742,0.5394892246,0.2891074531,0.3813598254,0.5601178664
1,1,1,0,0,1,1,0.9099202915,0.3967456836,0.4644682817,0.0992055438,0.0690254383,0.6491303593
1,1,1,1,1,0,0,0.7157200021,0.2732568216,0.4188926341,0.7228013910,0.7087960476,0.5999129270
0,1,1,0,0,0,1,0.0672675506,0.5228799591,0.0220076670,0.9084515767,0.9128372986,0.4194181161
0,0,0,0,0,0,0,0.1948277284,0.1028231452,0.4741126625,0.7274354077,0.7633810579,0.4227079307
0,0,0,1,0,1,0,0.9222799502,0.8102104566,0.2978530619,0.6102904910,0.7182600964,0.1150760460
